i roll pitch yaw
576 -0.77155954 0.088718586 1.7979105 
577 -0.7724389 0.08883747 1.8286008 
578 -0.7756919 0.08881807 1.8581644 
579 -0.7798919 0.08879303 1.8963335 
580 -0.7833682 0.088772304 1.9279253 
581 -0.7864359 0.08875401 1.9558045 
582 -0.78994447 0.08873309 1.9876899 
583 -0.79019266 0.09042124 2.0198255 
584 -0.79051787 0.092633076 2.0619302 
585 -0.790786 0.0944571 2.0966525 
586 -0.79099977 0.09591109 2.124331 
587 -0.7936282 0.0967375 2.1558857 
588 -0.7965708 0.09766264 2.1912107 
589 -0.7981714 0.09816588 2.210426 
590 -0.8005482 0.098913155 2.2389596 
591 -0.8030214 0.099690735 2.26865 
592 -0.80471283 0.10022254 2.2889562 
593 -0.8024947 0.10107086 2.3074708 
594 -0.8007386 0.101742476 2.322129 
595 -0.7982237 0.10270428 2.3431203 
596 -0.7959223 0.10358442 2.3623295 
597 -0.79323524 0.10461206 2.3847575 
598 -0.79105335 0.1054465 2.4029691 
599 -0.7898312 0.10644522 2.4106982 
600 -0.7890544 0.10708007 2.4156113 
601 -0.7883224 0.107678264 2.4202406 
602 -0.78748924 0.10835912 2.42551 
603 -0.7866501 0.10904485 2.430817 
604 -0.7856751 0.10984162 2.436983 
605 -0.7866269 0.104687154 2.4396183 
606 -0.7877266 0.09873138 2.4426632 
607 -0.7887779 0.09303759 2.445574 
608 -0.7901255 0.08573919 2.4493053 
609 -0.79174596 0.07696308 2.4537919 
610 -0.7926148 0.0722575 2.4561975 
611 -0.7966093 0.08062497 2.4584768 
612 -0.80008143 0.08789835 2.460458 
613 -0.804668 0.09750625 2.4630752 
614 -0.80847615 0.10548348 2.465248 
