i steerAngle sensorAngle maxSpeed sensorSpeed cameraPosX cameraPosY cameraPosZ cameraOriX cameraOriY cameraOriZ cameraOriW imuGyroX imuGyroY imuGyroZ imuAccX imuAccY imuAccZ imuMagX imuMagY imuMagZ deltaTime cameraConfidence
91 0 0 21.5 0.0 0.091566004 0.018218737 0.002266735 0.004956411 0.003037074 -0.0023289532 -0.0027996448 0.99998873 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.02820015 0.69
92 0 0 21.5 0.0 0.10176063 0.020646373 0.0023703626 0.010480198 0.0028912888 -0.0025866237 -0.0022074147 0.99999005 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.03215003 0.68
93 0 0 21.5 0.0 0.11800333 0.024644881 0.002542365 0.016728505 0.0031573528 -0.003022319 -0.0011897943 0.99998975 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.04199791 0.83
94 0 0 21.5 0.0 0.12981686 0.027629621 0.0027011463 0.012185787 0.003684421 -0.0033273958 -0.00081887253 0.9999873 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.038840055 0.72
95 0 0 21.5 0.0 0.1408572 0.03035983 0.0030591697 0.011378556 0.003927175 -0.003439698 -0.00029901 0.9999863 -0.041061662 0.022811977 -0.011014598 0.01669 0.00177 1.02156 0.20254 0.06202 0.28671 0.030045986 0.62
96 0 0 21.5 0.0 0.15322492 0.033441767 0.0031610904 0.01274632 0.0042794305 -0.0035252757 0.0 0.9999846 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.029726982 0.55
97 0 0 21.5 0.0 0.1658193 0.036695443 0.003261899 0.013008274 0.005109485 -0.0039195786 0.0014077835 0.99997824 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.04092002 0.79
98 0 0 21.5 0.0 0.17750603 0.0398737 0.004043124 0.012136363 0.00561258 -0.0042444672 0.002388963 0.9999724 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.029510021 0.68
99 0 0 21.5 0.0 0.18967098 0.043287653 0.004695888 0.0126517685 0.0057980185 -0.0045821103 0.0036519226 0.999966 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.029717922 0.5
100 0 0 21.5 0.0 0.19608182 0.045008045 0.00490018 0.0066408045 0.005864459 -0.0047748066 0.004121568 0.99996287 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.027884007 0.41
101 0 0 21.5 0.0 0.20866403 0.048372675 0.005078884 0.013025542 0.0061642486 -0.0052773356 0.004989974 0.99995464 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.02929306 0.27
102 0 0 21.5 0.4 0.22895263 0.054323833 0.0049763815 0.021143654 0.006424657 -0.0061448794 0.0068642166 0.9999369 -0.035601925 -0.018516896 -0.0076740384 0.00647 0.00381 1.01587 0.19506 0.05643 0.27857 0.039310932 0.75
